SIGIR A [4.973916108565386, 5674]
STOC A [4.986443381180223, 2508]
ICMI C [4.993364299933643, 3014]
CAV A [4.994011976047904, 1670]
SODA B [5.018544146138943, 3613]
VTS C [5.021780664883455, 2617]
NOCS C [5.025302530253025, 909]
ISPASS C [5.033797216699801, 1509]
FPL C [5.048470401271355, 5034]
ISCAS C [5.080993114959315, 23965]
ISLPED C [5.118703976435935, 3395]
ICCAD B [5.131161521405424, 5863]
INFOCOM A [5.156112618089982, 10691]
AAMAS B [5.184700882641386, 6118]
IPDPS B [5.187566531828827, 9394]
MOBICOM A [5.209876543209877, 2592]
CODES+ISSS B [5.213093709884467, 1558]
VLDB A [5.281369943903159, 3387]
FPGA B [5.287633482604202, 2903]
ITC B [5.300151336808475, 5947]
CCGRID C [5.303401360544218, 5145]
ETS C [5.385735080058224, 687]
IPSN B [5.425849212924606, 2414]
NDSS B [5.489029741589468, 2051]
RECOMB B [5.5117616309461575, 1913]
MICRO A [5.519796585543044, 2753]
ASP-DAC C [5.5475768321513, 6768]
VR A [5.555499110998222, 3937]
ICRA B [5.585662470663538, 28122]
ICDE A [5.717074592074592, 6864]
IROS C [5.762032085561497, 26180]
BIBM B [5.780559254327564, 7510]
DAC B [5.803827751196172, 10868]
CVPR A [5.92983680949472, 11459]
IMC B [6.031645569620253, 316]
ASPLOS A [6.0673400673400675, 2376]
SOSP A [6.188888888888889, 1440]
DATE B [6.305377071356104, 11828]
MSST B [6.3214695752009185, 871]
CLUSTER C [6.352811466372657, 3628]
ICB C [6.442033898305085, 1475]
SIGCOMM A [6.485879332477535, 3116]
FAST A [6.7172413793103445, 1160]
UIST B [6.73803071364047, 2214]
CHI A [6.739485047177355, 12506]
HPCA A [6.745114698385726, 2354]
INTERSPEECH C [6.916242103117995, 14721]
CCS A [7.209302325581396, 129]
OSDI A [7.241326137239784, 1297]
CIDR B [7.398615232443126, 1011]
ISCA A [7.827096025529446, 3447]
AMIA C [8.132901318781265, 17592]
NSDI B [8.395513577331759, 1694]
HPDC B [8.496898941991974, 2741]
CF C [9.337186897880539, 519]
SC A [10.693543205910697, 6226]
