FSE B [0.7839607201309329, 611]
ESA B [0.7866293034427542, 2498]
INFOCOM A [0.8024927219796215, 10992]
ICCV A [0.803324722003819, 8903]
COCO B [0.8158803222094362, 869]
AMIA C [0.8211095933592518, 19034]
NIPS A [0.8236391187784124, 17158]
IROS C [0.8285362586437856, 27621]
CHI A [0.8290926099158091, 10690]
ICRA B [0.8324079068439255, 31517]
FOCS A [0.8332448220924057, 1883]
COMPGEOM B [0.8350717079530638, 1534]
NSDI A [0.8435550935550935, 1924]
STOC A [0.8449687048627829, 2077]
SIGMOD A [0.8539325842696629, 4183]
SODA B [0.8618890719384953, 3642]
TCC B [0.8691099476439791, 382]
CVPR A [0.8757462249795154, 17086]
